                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 2.4457,                  3.726,                  1.455,                0.01546,                0.33012,                 0.1238,                0.03991,                 2.2654,                 4.1835,                 1.4275,              0.0001671,              0.0001671,              0.0001671
                     57,                 2.3936,                 3.8371,                 1.4561,                0.67851,                0.11637,                0.13818,                0.05141,                 2.2348,                 4.1026,                 1.4044,             0.00016644,             0.00016644,             0.00016644
                     58,                 2.4579,                 3.6623,                 1.4158,                0.67851,                0.11637,                0.13818,                0.05141,                 2.2348,                 4.1026,                 1.4044,             0.00016565,             0.00016565,             0.00016565
                     59,                 2.4016,                 3.8638,                 1.4581,                0.67851,                0.11637,                0.13818,                0.05141,                 2.2348,                 4.1026,                 1.4044,             0.00016472,             0.00016472,             0.00016472
                     60,                 2.2253,                 3.5392,                 1.4163,                 0.9131,                0.07971,                0.15095,                0.05964,                 2.1719,                  4.026,                 1.3843,             0.00016367,             0.00016367,             0.00016367
                     61,                 2.3215,                 3.6387,                 1.4617,                 0.9131,                0.07971,                0.15095,                0.05964,                 2.1719,                  4.026,                 1.3843,             0.00016248,             0.00016248,             0.00016248
                     62,                 2.3498,                 3.3813,                 1.3646,                 0.9131,                0.07971,                0.15095,                0.05964,                 2.1719,                  4.026,                 1.3843,             0.00016116,             0.00016116,             0.00016116
                     63,                 2.6479,                  3.679,                  1.404,                0.89572,                0.09761,                0.15732,                0.06552,                 2.1592,                 3.9438,                 1.3736,             0.00015971,             0.00015971,             0.00015971
                     64,                 2.2989,                 3.4695,                 1.3771,                0.89572,                0.09761,                0.15732,                0.06552,                 2.1592,                 3.9438,                 1.3736,             0.00015813,             0.00015813,             0.00015813
                     65,                 2.3094,                 3.2942,                 1.3697,                0.89572,                0.09761,                0.15732,                0.06552,                 2.1592,                 3.9438,                 1.3736,             0.00015641,             0.00015641,             0.00015641
                     66,                 2.4357,                 3.5608,                 1.3998,                0.86893,                0.11531,                0.16069,                0.06942,                 2.1631,                 3.8464,                 1.3594,             0.00015456,             0.00015456,             0.00015456
                     67,                 2.3325,                 3.6479,                 1.4355,                0.86893,                0.11531,                0.16069,                0.06942,                 2.1631,                 3.8464,                 1.3594,             0.00015258,             0.00015258,             0.00015258
                     68,                 2.2439,                 3.3329,                 1.3926,                0.86893,                0.11531,                0.16069,                0.06942,                 2.1631,                 3.8464,                 1.3594,             0.00015047,             0.00015047,             0.00015047
                     69,                 2.2079,                 3.4289,                 1.3804,                0.65939,                0.14051,                0.16817,                0.06999,                 2.1572,                 3.7722,                 1.3497,             0.00014822,             0.00014822,             0.00014822
                     70,                 2.3517,                  3.352,                  1.359,                0.65939,                0.14051,                0.16817,                0.06999,                 2.1572,                 3.7722,                 1.3497,             0.00014585,             0.00014585,             0.00014585
